Candidate,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
programa-gobierno-abelardo,0.0743,0.0,0.038,0.3857,0.502
programa-gobierno-cepeda,0.0359,0.0022,0.8605,0.0521,0.0493
programa-gobierno-claudia,0.01,0.0082,0.0233,0.3461,0.6124
programa-gobierno-fajardo,0.0535,0.0101,0.001,0.2135,0.7219
programa-gobierno-paloma,0.0037,0.0022,0.0323,0.5417,0.42
