topic_id,suggested_label,top20_words
0,Topic 0,"mujer, política, internacional, violencia, cultural, haber, guerra, deber, cultura, derecho, exterior, social, mundo, nuevo, sociedad, género, país, global, víctima, público"
1,Topic 1,"justicia, judicial, digital, investigación, público, impunidad, nivel, gasto, fiscalía, instituto, policía, inteligencia, seguridad, corrupción, capacidad, crimen, artificial, macrocorrupción, mafia, cepedaen"
2,Topic 2,"haber, social, tener, poder, país, estar, político, deber, decir, revolución, territorio, querer, derecho, histórico, cambio, política, lucha, seguir, compañero, violencia"
3,Topic 3,"público, corrupción, seguridad, poder, país, tener, joven, deber, política, social, recurso, salud, territorio, proyecto, control, comunidad, justicia, haber, oportunidad, desarrollo"
4,Topic 4,"desarrollo, productivo, salud, país, educación, social, acceso, territorial, servicio, territorio, público, rural, inversión, empleo, proyecto, economía, cuidado, región, mayor, infraestructura"
