Candidate,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
programa-gobierno-abelardo,0.4838,0.3463,0.0,1e-04,0.0869,0.0828,0.0,0.0
programa-gobierno-cepeda,0.0038,0.052,0.208,0.3912,0.1023,0.0126,0.1907,0.0394
programa-gobierno-claudia,0.0628,0.6905,0.0689,0.0174,0.1564,0.0,0.004,0.0
programa-gobierno-fajardo,0.1143,0.8378,0.0199,0.0077,0.0146,0.0014,0.0043,0.0
programa-gobierno-paloma,0.0811,0.6495,0.0927,0.052,0.0932,0.0,0.0168,0.0147
