topic_id,suggested_label,top20_words
0,Topic 0,"educación, cuidado, jóvenes, cultura, social, mujeres, mayores, bienestar, formación, culturales, cultural, pública, trabajo, calidad, política, violencia, infancia, personas, pobreza, educativa"
1,Topic 1,"desarrollo, país, salud, seguridad, inversión, proyectos, servicios, acceso, protección, infraestructura, política, territorial, empleo, integral, empresas, mediante, oportunidades, personas, territorios, pública"
2,Topic 2,"agua, país, agraria, revolución, social, territorios, tierra, territorio, también, comunidades, pobreza, economía, aquí, pueblos, sino, potable, necesitamos, rurales, sociales, sido"
3,Topic 3,"víctimas, política, corrupción, social, violencia, justicia, país, sociales, poder, petro, también, verdad, sociedad, revolución, ética, sido, uribe, hemos, sino, porque"
4,Topic 4,"política, social, país, pobreza, iván, sociales, cepeda, castro, pacto, corrupción, seguridad, austeridad, derechos, histórico, fuerza, debemos, personas, territorios, justicia, también"
5,Topic 5,"guerra, política, modelo, cepeda, iván, internacional, castro, social, narcotráfico, unidos, estados, drogas, está, país, global, nacionales, hemos, estadounidense, bogotá, derechos"
6,Topic 6,"país, política, social, gran, aquí, pacto, vamos, histórico, también, corrupción, derechos, cambio, compañeros, cepeda, fuerza, castro, compañeras, iván, ciudad, sociales"
7,Topic 7,"indígenas, pueblos, derecha, extrema, también, país, derechos, sociales, mujeres, política, gran, social, porque, historia, comunidades, compañeras, territorio, iván, sido, compañeros"
