topic_id,suggested_label,top20_words
0,"Security, Justice & Anti-corruption","seguridad, justicia, público, país, corrupción, territorio, indígena, control, energético, internacional, desarrollo, inversión, proyecto, región, ambiental, regional, efectivo, política, criminal, crimen"
1,Social Policy,"salud, educación, social, público, país, desarrollo, acceso, territorial, productivo, servicio, empleo, cuidado, persona, territorio, mujer, joven, mayor, integral, oportunidad, política"
2,Political Identity & Rhetoric,"social, político, país, política, corrupción, histórico, territorio, lucha, violencia, cambio, popular, comunidad, víctima, público, fuerza, derecho, movimiento, historia, justicia, venir"
3,"Conflict, Rights & Victims","política, social, guerra, sociedad, derecho, víctima, país, violencia, internacional, extremo, derecha, estados, crimen, político, unidos, mundo, crisis, humanidad, madre, verdad"
4,Gender & Social Rights,"mujer, social, derecho, país, lucha, político, mucho, tanto, organización, violencia, histórico, económico, cambio, justicia, sociedad, participación, mayor, fuerza, movilización, trabajador"
5,Economic & Sustainable Development,"productivo, desarrollo, país, tierra, sostenible, ambiental, inversión, rural, económico, región, ecosistema, biodiversidad, mercado, economía, riqueza, convertir, investigación, pacífico, innovación, campesino"
6,"Territory, Water & Rural Economy","social, agua, país, seguir, campesino, territorio, cambio, potable, economía, población, pobreza, agrario, municipio, rural, avanzar, transformación, agraria, ciudad, comunidad, derecho"
