,programa-gobierno-abelardo,programa-gobierno-cepeda,programa-gobierno-claudia,programa-gobierno-fajardo,programa-gobierno-paloma
programa-gobierno-abelardo,1.0,0.3742,0.8729,0.762,0.8566
programa-gobierno-cepeda,0.3742,1.0,0.352,0.3337,0.426
programa-gobierno-claudia,0.8729,0.352,1.0,0.8172,0.8737
programa-gobierno-fajardo,0.762,0.3337,0.8172,1.0,0.7523
programa-gobierno-paloma,0.8566,0.426,0.8737,0.7523,1.0
