topic_id,suggested_label,top20_words
0,Topic 0,"social, país, revolución, pueblos, cambio, sociales, violencia, aquí, política, ustedes, iván, comunidades, compañeros, indígenas, territorio, sido, dignidad, diálogo, compañeras, fuerza"
1,Topic 1,"educación, salud, desarrollo, social, país, cuidado, jóvenes, mujeres, protección, personas, empleo, territorios, oportunidades, formación, territorial, acceso, comunidades, atención, integral, trabajo"
2,Topic 2,"inversión, país, desarrollo, proyectos, infraestructura, regional, empresas, acceso, crecimiento, internacional, energética, política, mediante, estratégicos, productividad, servicios, exterior, sostenible, vivienda, sector"
3,Topic 3,"justicia, corrupción, víctimas, control, pública, reparación, impunidad, criminales, salud, gasto, públicos, transparencia, política, judicial, contratación, público, seguridad, social, verdad, macrocorrupción"
4,Topic 4,"social, país, política, sociales, derechos, también, hemos, sido, histórico, iván, aquí, porque, compañeras, cambio, compañeros, camino, justicia, violencia, revolución, sociedad"
5,Topic 5,"política, seguridad, indígenas, territorios, país, pueblos, justicia, derechos, derecho, territorio, social, también, proteger, mundo, violencia, realidad, fuerza, sino, historia, acción"
6,Topic 6,"país, agua, vamos, corrupción, gran, política, agraria, necesitamos, también, revolución, iván, comunidades, aquí, territorios, sino, potable, grandes, economía, está, seguir"
7,Topic 7,"política, corrupción, sociedad, víctimas, revolución, ética, rebelión, madres, violencia, también, gran, verdad, país, moral, poder, aquí, conciencia, ciudadana, lugar, austeridad"
